vendor_id,vendor_name,type,data_access,certifications,cert_expiry,breach_status,under_investigation,financial_rating,gdpr_dpa,risk_score,annual_spend_usd,contract_start,contract_end,hosting_provider,key_subprocessor
V0024,SterlingFlow Digital,Backup/Storage,Financial data,SOC2;ISO27001,2024-12-16,None,True,A-,True,31,230000,2023-11-23,2027-11-22,Azure,Stripe
V0025,AtlasLogic Security,Data platform,Logs/Telemetry,SOC2,2025-08-23,None,False,A+,False,33,703000,2024-07-25,2026-07-25,GCP,Okta
V0026,SilverScale Networks,Integration partner,Internal systems,PCI-DSS,2025-01-30,None,False,C,False,83,3595000,2026-04-10,2028-04-09,GCP,Twilio
V0027,HelixStone Software,Contractor/Consultant,Logs/Telemetry,ISO27001,2024-04-04,Old,False,B,True,92,2547000,2023-06-23,2026-06-22,GCP,None
V0028,CobaltGuard Payments,HR platform,Logs/Telemetry,PCI-DSS,2025-11-23,None,False,A,True,38,255000,2024-10-12,2027-10-12,AWS,Cloudflare
V0029,FalconByte Data,Software vendor,Financial data,ISO27001,2024-11-26,None,False,B,False,25,175000,2024-03-03,2027-03-03,AWS,Stripe
V0030,PinnaclePath Data,Backup/Storage,Logs/Telemetry,ISO27001;SOC2,2025-09-15,None,True,A,False,73,699000,2024-01-14,2028-01-13,AWS,Cloudflare
V0031,NorthVault Partners,Payment processor,Customer PII,SOC2,2024-08-24,None,False,A,True,41,794000,2024-03-06,2027-03-06,Azure,None
V0032,NorthPath Cloud,Data platform,Financial data,PCI-DSS;SOC2,2027-01-23,Old,False,B,True,71,651000,2025-06-13,2027-06-13,AWS,SendGrid
V0033,FalconShift Security,Integration partner,Internal systems,PCI-DSS;SOC2,2026-04-26,Old,False,B,False,69,4720000,2024-03-14,2027-03-14,On-prem/Other,Twilio
V0034,IronWave Data,Security vendor,Public/Marketing,SOC2,2027-01-02,None,False,C,True,54,85000,2023-06-20,2027-06-19,AWS,None
V0035,OrionPoint Data,Software vendor,Customer PII,PCI-DSS,2025-09-20,None,False,A+,False,55,3105000,2024-10-19,2027-10-19,GCP,None
V0036,IronPoint Partners,HR platform,Financial data,none,2025-05-31,None,False,A+,False,29,363000,2024-09-26,2028-09-25,Azure,Twilio
V0037,VertexGuard Data,Integration partner,Internal systems,ISO27001,2024-06-25,None,True,D,True,46,328000,2024-03-27,2027-03-27,Azure,Stripe
V0038,OrionPoint Solutions,Contractor/Consultant,Customer PII,ISO27001;SOC2,2024-03-25,Old,False,A,True,71,236000,2023-08-04,2026-08-03,Azure,Cloudflare
V0039,SummitCore Technologies,Integration partner,Financial data,SOC2;ISO27001,2026-12-24,Old,False,A-,False,48,240000,2026-03-27,2030-03-26,AWS,Cloudflare
V0040,CobaltLogic Systems,Security vendor,Financial data,none,2026-12-08,None,False,B,True,42,102000,2024-11-29,2026-11-29,Azure,Stripe
V0041,SigmaForge Digital,Managed service provider,Financial data,ISO27001;PCI-DSS,2026-11-24,None,False,A,True,64,285000,2025-11-06,2027-11-06,AWS,Cloudflare
V0042,FalconSphere Networks,Contractor/Consultant,Customer PII,PCI-DSS;ISO27001,2026-11-02,None,False,A,True,47,3090000,2025-03-12,2028-03-11,On-prem/Other,Okta
V0043,BlueLedger Security,Contractor/Consultant,Logs/Telemetry,ISO27001,2024-10-09,None,False,A-,True,37,1701000,2023-07-15,2026-07-14,On-prem/Other,Stripe
V0044,VertexGuard Consulting,Security vendor,Internal systems,PCI-DSS;ISO27001,2027-01-04,None,False,B,True,6,2046000,2023-10-29,2026-10-28,AWS,Cloudflare
V0045,VertexLogic Analytics,Integration partner,Financial data,none,2026-05-02,None,False,D,True,40,156000,2023-10-03,2025-10-02,AWS,Stripe
V0046,AtlasWind Consulting,Data platform,Internal systems,none,2024-04-30,None,False,A,False,98,2335000,2026-01-06,2028-01-06,AWS,Okta
V0047,MeridianWave Cloud,Data platform,Internal systems,SOC2,2025-06-29,None,False,B,True,99,487000,2025-08-24,2029-08-23,GCP,Cloudflare
V0048,CobaltGrid Payments,Managed service provider,Internal systems,SOC2,2025-01-31,None,False,A-,False,86,4575000,2025-07-16,2027-07-16,AWS,None
V0049,AtlasShift Payments,Cloud provider,Logs/Telemetry,PCI-DSS;ISO27001,2026-05-27,None,False,A-,False,35,962000,2024-07-01,2026-07-01,On-prem/Other,Twilio
V0050,PinnacleStone Analytics,Security vendor,Logs/Telemetry,ISO27001;SOC2,2024-06-16,Old,False,A+,True,81,1062000,2025-09-28,2028-09-27,AWS,None
V0051,GraniteByte Systems,Managed service provider,Public/Marketing,PCI-DSS,2025-01-02,None,False,B,False,75,678000,2023-07-27,2027-07-26,AWS,Okta
V0052,IronScale Digital,Data platform,Logs/Telemetry,SOC2;ISO27001,2026-04-21,None,False,A,True,20,347000,2025-12-28,2028-12-27,AWS,Stripe
V0053,LumenLedger Labs,Software vendor,Internal systems,PCI-DSS,2025-11-19,None,False,A,True,55,552000,2026-04-02,2029-04-01,GCP,SendGrid
V0054,OrionStack Solutions,HR platform,Financial data,ISO27001,2026-02-13,Old,False,B,True,80,257000,2024-03-01,2028-02-29,AWS,Twilio
V0055,LumenVault Solutions,Cloud provider,Public/Marketing,SOC2;ISO27001,2025-08-18,None,False,B,True,56,650000,2024-11-24,2028-11-23,Azure,None
V0056,AcmeStone Solutions,Security vendor,Customer PII,SOC2,2026-09-24,Recent,False,A-,True,38,388000,2025-03-06,2027-03-06,GCP,None
V0057,CobaltLedger Solutions,Data platform,Public/Marketing,ISO27001;PCI-DSS,2026-08-04,None,False,A+,True,52,3780000,2024-01-29,2028-01-28,AWS,None
V0058,HelixSync Consulting,Security vendor,Customer PII,PCI-DSS,2025-02-25,None,False,C,False,37,649000,2024-06-19,2028-06-18,AWS,Okta
V0059,ApexGrid Systems,Software vendor,Public/Marketing,ISO27001,2026-08-02,None,False,A-,True,66,3875000,2023-12-15,2027-12-14,Azure,Okta
V0060,MeridianSphere Digital,Data platform,Customer PII,SOC2;ISO27001,2024-09-28,Old,False,A+,True,68,717000,2024-03-30,2028-03-29,GCP,SendGrid
V0061,AcmePoint Systems,Backup/Storage,Internal systems,SOC2,2026-12-14,None,False,A-,True,70,864000,2025-02-21,2029-02-20,AWS,None
V0062,SilverWind Solutions,Data platform,Customer PII,none,2025-10-30,None,False,A-,True,70,149000,2026-03-22,2029-03-21,GCP,Twilio
V0063,BlueByte Data,Integration partner,Customer PII,none,2024-09-20,None,False,D,False,70,177000,2024-08-12,2027-08-12,Azure,Okta
V0064,PinnacleWave Networks,Backup/Storage,Financial data,ISO27001;SOC2,2026-11-13,None,False,A-,True,66,1728000,2024-06-25,2027-06-25,On-prem/Other,Cloudflare
V0065,AcmeWave Payments,HR platform,Public/Marketing,SOC2,2024-10-28,None,False,A-,True,40,1524000,2025-10-09,2028-10-08,AWS,SendGrid
V0066,MeridianScale Systems,Security vendor,Customer PII,none,2025-02-22,Recent,False,B,True,70,1770000,2024-06-15,2028-06-14,AWS,Stripe
V0067,DeltaStone Solutions,HR platform,Financial data,SOC2,2026-05-15,None,False,B,True,82,132000,2024-09-28,2028-09-27,AWS,Stripe
V0068,SilverSphere Consulting,HR platform,Customer PII,PCI-DSS;ISO27001,2027-01-27,None,False,B,True,76,362000,2024-05-03,2026-05-03,AWS,Okta
V0069,DeltaWind Systems,Security vendor,Customer PII,ISO27001,2026-05-09,None,False,B,True,56,919000,2026-01-04,2028-01-04,AWS,SendGrid
V0070,LumenGrid Networks,HR platform,Financial data,PCI-DSS,2026-08-06,None,False,A-,True,26,3545000,2023-07-30,2027-07-29,Azure,Okta
V0071,NorthFlow Solutions,Data platform,Logs/Telemetry,ISO27001;PCI-DSS,2026-07-25,None,False,A+,False,60,1250000,2023-07-02,2027-07-01,GCP,None
V0072,BlueGrid Cloud,Managed service provider,Customer PII,ISO27001,2024-12-19,None,False,A-,True,69,429000,2026-03-10,2029-03-09,AWS,None
V0073,OrionScale Digital,Data platform,Customer PII,PCI-DSS,2026-10-17,None,False,A-,True,42,93000,2025-08-31,2029-08-30,Azure,None
V0074,GraniteByte Technologies,Software vendor,Customer PII,SOC2,2026-10-24,None,False,B,True,67,980000,2023-10-15,2027-10-14,On-prem/Other,Cloudflare
V0075,GraniteLink Labs,Integration partner,Internal systems,ISO27001,2026-12-02,None,False,A+,True,46,866000,2024-09-11,2026-09-11,Azure,None
V0076,CedarPoint Partners,Payment processor,Logs/Telemetry,ISO27001;SOC2,2025-06-07,None,False,B,True,53,476000,2025-09-22,2028-09-21,On-prem/Other,Okta
V0077,FalconPoint Networks,Payment processor,Internal systems,ISO27001,2025-01-23,None,False,A,False,23,1785000,2025-12-08,2028-12-07,AWS,SendGrid
V0078,LumenSphere Payments,Software vendor,Customer PII,ISO27001;PCI-DSS,2025-01-14,None,False,B,False,31,332000,2024-03-11,2028-03-10,GCP,None
V0079,DeltaForge Systems,HR platform,Financial data,ISO27001,2025-07-03,None,False,A-,True,73,155000,2025-06-08,2027-06-08,AWS,None
V0080,DeltaForge Cloud,Backup/Storage,Public/Marketing,PCI-DSS,2025-02-14,None,False,B,True,44,4020000,2025-05-17,2029-05-16,AWS,Stripe
V0081,HelixSphere Solutions,Security vendor,Logs/Telemetry,SOC2,2025-07-02,Old,False,A-,True,62,2995000,2023-11-01,2026-10-31,Azure,None
V0082,QuantumFlow Security,HR platform,Public/Marketing,none,2024-07-16,Recent,False,A-,True,44,743000,2025-08-09,2028-08-08,AWS,Okta
V0083,PinnacleScale HR,Software vendor,Internal systems,SOC2,2024-11-28,None,False,B,False,57,244000,2026-02-23,2029-02-22,On-prem/Other,None
V0084,SterlingStone Solutions,Data platform,Internal systems,PCI-DSS;ISO27001,2024-09-20,None,False,A-,True,99,277000,2025-02-04,2027-02-04,Azure,None
V0085,ApexGuard Solutions,Software vendor,Customer PII,PCI-DSS,2024-09-02,None,False,B,True,27,2710000,2024-12-12,2028-12-11,AWS,Stripe
V0086,PinnacleLedger Consulting,Backup/Storage,Internal systems,PCI-DSS,2024-05-22,None,False,A,True,52,414000,2023-09-02,2025-09-01,Azure,None
V0087,HarborScale Analytics,Contractor/Consultant,Internal systems,none,2025-05-16,None,False,C,True,36,2450000,2023-08-15,2027-08-14,On-prem/Other,None
V0088,SummitStone Security,Software vendor,Customer PII,PCI-DSS;ISO27001,2024-07-31,None,False,A,True,76,307000,2024-04-20,2026-04-20,GCP,Stripe
V0089,CedarPoint HR,Data platform,Financial data,PCI-DSS,2024-06-12,None,False,A,True,51,190000,2023-11-22,2027-11-21,On-prem/Other,Twilio
V0090,NimbusCore Solutions,Managed service provider,Logs/Telemetry,ISO27001,2025-04-07,None,False,A+,False,60,644000,2023-11-13,2026-11-12,Azure,None
V0091,CedarSync Software,Security vendor,Internal systems,SOC2;ISO27001,2027-01-15,None,False,A-,True,40,144000,2025-06-11,2029-06-10,AWS,Stripe
V0092,SterlingForge Analytics,Integration partner,Internal systems,SOC2,2027-02-02,None,False,A,True,37,1900000,2025-08-23,2028-08-22,GCP,None
V0093,FalconLogic Technologies,Software vendor,Public/Marketing,PCI-DSS,2024-09-27,Old,False,C,False,99,1850000,2025-12-10,2029-12-09,Azure,None
V0094,FalconLedger Security,Integration partner,Customer PII,SOC2;PCI-DSS,2024-06-19,None,False,A-,True,40,493000,2025-07-30,2029-07-29,GCP,Okta
V0095,MeridianForge Digital,Security vendor,Logs/Telemetry,none,2025-06-16,None,False,A+,True,44,2010000,2025-04-14,2027-04-14,AWS,None
V0096,SterlingCore Labs,Software vendor,Public/Marketing,PCI-DSS,2025-08-23,Recent,False,A+,False,35,2895000,2024-10-06,2026-10-06,Azure,SendGrid
V0097,CrimsonStack Labs,Software vendor,Internal systems,ISO27001;SOC2,2027-01-28,None,False,B,True,54,800000,2023-12-20,2027-12-19,Azure,Cloudflare
V0098,ApexLogic Technologies,Security vendor,Internal systems,SOC2,2026-11-25,None,False,A-,False,36,446000,2024-05-25,2028-05-24,AWS,None
V0099,OrionVault Labs,Security vendor,Internal systems,none,2025-11-17,None,False,C,False,52,408000,2023-12-17,2025-12-16,On-prem/Other,None
V0100,DeltaLink Technologies,Security vendor,Internal systems,ISO27001,2025-07-04,None,False,A+,True,61,1064000,2023-09-28,2025-09-27,AWS,Stripe
V0101,GraniteLogic Solutions,Payment processor,Logs/Telemetry,ISO27001,2025-03-08,None,False,A-,False,30,386000,2024-09-07,2026-09-07,AWS,Cloudflare
V0102,SilverSphere Systems,Software vendor,Customer PII,ISO27001,2025-03-09,None,False,A-,True,67,1278000,2023-07-02,2025-07-01,AWS,Okta
V0103,HelixByte Partners,Data platform,Customer PII,ISO27001;SOC2,2025-01-12,Old,False,A+,True,46,1680000,2023-07-23,2027-07-22,Azure,Cloudflare
V0104,AcmeGrid Partners,Contractor/Consultant,Public/Marketing,PCI-DSS;SOC2,2024-07-29,None,False,B,False,69,1818000,2025-01-10,2029-01-09,On-prem/Other,Cloudflare
V0105,CedarByte Payments,Backup/Storage,Customer PII,SOC2;PCI-DSS,2027-02-17,None,False,A-,True,40,2424000,2023-08-30,2027-08-29,Azure,None
V0106,LumenLogic Software,Integration partner,Public/Marketing,PCI-DSS,2025-04-25,None,False,A,True,59,3560000,2024-10-27,2028-10-26,AWS,None
V0107,ApexCore Data,Software vendor,Logs/Telemetry,ISO27001,2025-09-13,None,False,B,True,11,1706000,2024-05-15,2026-05-15,AWS,Twilio
V0108,HelixShift Data,Managed service provider,Customer PII,PCI-DSS,2025-09-17,None,False,B,True,40,780000,2024-12-11,2026-12-11,Azure,Cloudflare
V0109,PinnacleLink Data,Managed service provider,Internal systems,none,2026-05-08,None,False,B,False,68,789000,2024-09-10,2027-09-10,AWS,Okta
V0110,IronPath Data,Backup/Storage,Public/Marketing,SOC2;ISO27001,2026-04-01,Old,False,C,False,36,1642000,2023-07-12,2025-07-11,On-prem/Other,None
V0111,NorthCore Partners,HR platform,Public/Marketing,ISO27001,2024-04-18,None,False,A,True,65,843000,2025-09-03,2028-09-02,AWS,Cloudflare
V0112,DeltaLink Security,Contractor/Consultant,Internal systems,PCI-DSS,2024-12-17,Recent,False,A+,True,33,425000,2025-10-08,2027-10-08,On-prem/Other,None
V0113,HelixShift Analytics,Contractor/Consultant,Logs/Telemetry,none,2025-03-21,None,False,C,True,64,1434000,2023-06-27,2027-06-26,Azure,SendGrid
V0114,IronGuard Labs,Managed service provider,Internal systems,ISO27001;PCI-DSS,2024-08-05,None,False,A+,True,63,795000,2024-12-01,2028-11-30,Azure,None
V0115,FalconSync Systems,Data platform,Customer PII,PCI-DSS;SOC2,2024-03-23,None,False,A+,True,42,749000,2023-07-25,2025-07-24,GCP,Cloudflare
V0116,PinnaclePoint Partners,Cloud provider,Internal systems,PCI-DSS;SOC2,2025-01-06,None,True,A-,True,50,607000,2025-11-23,2027-11-23,AWS,None
V0117,VertexLogic Cloud,Contractor/Consultant,Customer PII,none,2024-11-17,None,False,C,True,9,798000,2025-11-08,2029-11-07,On-prem/Other,Okta
V0118,OnyxVault Software,Software vendor,Public/Marketing,SOC2;ISO27001,2024-08-21,None,False,A,False,66,1209000,2025-01-06,2027-01-06,AWS,Okta
V0119,SigmaWave Cloud,Security vendor,Financial data,SOC2;PCI-DSS,2026-01-29,None,False,B,True,23,265000,2026-01-21,2029-01-20,AWS,Cloudflare
V0120,SterlingForge Solutions,Software vendor,Public/Marketing,PCI-DSS,2025-06-09,None,False,C,False,61,2740000,2025-01-24,2028-01-24,AWS,Okta
V0121,QuantumGrid Software,Managed service provider,Public/Marketing,PCI-DSS;ISO27001,2024-04-17,None,False,C,False,63,1497000,2024-12-14,2026-12-14,AWS,None
V0122,OnyxGrid Digital,Payment processor,Customer PII,SOC2,2025-05-20,None,False,B,False,67,109000,2025-03-27,2027-03-27,AWS,SendGrid
V0123,SummitStack Data,Backup/Storage,Customer PII,ISO27001,2025-07-15,Old,True,A-,True,99,779000,2023-08-15,2025-08-14,Azure,None
V0124,NimbusCore Digital,Managed service provider,Internal systems,ISO27001,2024-05-11,Recent,False,B,True,32,2475000,2024-07-05,2026-07-05,AWS,Stripe
V0125,SterlingWind Solutions,Payment processor,Internal systems,ISO27001;SOC2,2026-02-19,None,False,B,False,63,3580000,2024-05-30,2027-05-30,Azure,Cloudflare
V0126,HelixLedger Data,Security vendor,Customer PII,ISO27001;SOC2,2026-11-27,None,False,A,True,31,852000,2026-01-12,2028-01-12,AWS,None
V0127,NorthFlow Software,Managed service provider,Customer PII,PCI-DSS,2024-07-11,None,True,C,True,31,557000,2024-10-06,2028-10-05,On-prem/Other,Okta
V0128,HarborLedger Systems,Data platform,Internal systems,PCI-DSS,2024-04-13,None,False,B,True,47,190000,2024-03-18,2027-03-18,AWS,Twilio
V0129,VertexStone Systems,Integration partner,Financial data,PCI-DSS,2027-03-08,None,False,C,True,68,594000,2025-10-08,2029-10-07,On-prem/Other,Twilio
V0130,CrimsonLogic Solutions,Cloud provider,Customer PII,PCI-DSS;SOC2,2026-03-25,Old,False,A,True,28,616000,2025-06-30,2029-06-29,GCP,None
V0131,CrimsonVault Consulting,Data platform,Financial data,SOC2;PCI-DSS,2024-06-05,None,False,D,True,63,363000,2024-01-30,2027-01-29,AWS,Twilio
V0132,OrionPath Digital,Integration partner,Internal systems,SOC2;ISO27001,2025-11-08,None,False,A+,False,60,404000,2025-06-10,2029-06-09,AWS,Stripe
V0133,HelixSync Security,Contractor/Consultant,Customer PII,ISO27001,2024-05-12,None,True,B,True,46,2454000,2024-06-26,2027-06-26,On-prem/Other,None
V0134,IronStack Software,Software vendor,Financial data,none,2025-07-19,None,False,A-,False,59,460000,2024-10-03,2027-10-03,AWS,None
V0135,DeltaLogic Partners,HR platform,Internal systems,none,2027-03-14,Old,False,D,True,25,465000,2024-06-05,2027-06-05,GCP,None
V0136,NimbusSphere Data,Software vendor,Financial data,ISO27001;PCI-DSS,2024-06-25,Old,False,A,False,27,400000,2024-09-24,2027-09-24,AWS,None
V0137,QuantumPath Cloud,Data platform,Internal systems,ISO27001;PCI-DSS,2026-11-06,Recent,False,B,True,32,1625000,2024-12-12,2027-12-12,Azure,None
V0138,SilverLogic Partners,Integration partner,Internal systems,PCI-DSS;ISO27001,2027-01-11,None,False,A-,False,64,1869000,2025-10-29,2027-10-29,Azure,SendGrid
V0139,BlueStack Consulting,Backup/Storage,Financial data,ISO27001;SOC2,2027-03-06,None,False,B,True,51,3020000,2025-01-24,2028-01-24,AWS,Cloudflare
V0140,SterlingSync Cloud,Managed service provider,Customer PII,SOC2;PCI-DSS,2026-06-10,None,False,B,True,26,548000,2023-08-06,2026-08-05,AWS,Stripe
V0141,ApexStone Security,Backup/Storage,Customer PII,SOC2,2026-04-25,Old,False,A,True,26,588000,2023-11-30,2026-11-29,AWS,Stripe
V0142,PinnacleVault Cloud,Backup/Storage,Public/Marketing,ISO27001,2025-01-20,None,False,A,True,49,785000,2025-12-14,2029-12-13,AWS,None
V0143,HelixWave Solutions,Backup/Storage,Internal systems,ISO27001;PCI-DSS,2025-01-13,None,False,A-,True,67,3685000,2024-08-20,2028-08-19,Azure,SendGrid
V0144,AcmeLedger Analytics,Backup/Storage,Internal systems,SOC2,2025-01-31,None,False,A,False,29,2175000,2025-05-02,2029-05-01,AWS,Twilio
V0145,SilverStone Payments,Contractor/Consultant,Customer PII,none,2025-01-30,Old,False,A,True,21,1484000,2023-10-25,2026-10-24,AWS,None
V0146,IronPath Solutions,Software vendor,Internal systems,ISO27001;SOC2,2026-08-06,None,False,A-,False,52,570000,2026-01-26,2030-01-25,AWS,Twilio
V0147,GraniteGuard Solutions,Data platform,Customer PII,SOC2,2024-10-09,Recent,False,B,True,57,3085000,2024-05-03,2028-05-02,Azure,Stripe
V0148,SummitStone Partners,Contractor/Consultant,Customer PII,ISO27001,2025-08-05,None,False,D,False,39,2808000,2025-10-08,2027-10-08,On-prem/Other,None
V0149,SterlingByte Technologies,Software vendor,Financial data,PCI-DSS,2025-01-12,None,False,C,True,49,184000,2025-10-13,2028-10-12,Azure,Twilio
V0150,MeridianLink Partners,Cloud provider,Logs/Telemetry,PCI-DSS;ISO27001,2025-03-24,Recent,False,A,True,72,476000,2023-11-24,2025-11-23,AWS,Stripe
V0151,SterlingStack Payments,Managed service provider,Financial data,SOC2;PCI-DSS,2026-09-05,None,False,D,False,97,466000,2023-09-30,2025-09-29,On-prem/Other,Stripe
V0152,GraniteCore Labs,Data platform,Public/Marketing,none,2025-03-19,None,False,B,True,56,920000,2026-01-05,2029-01-04,Azure,None
V0153,VertexWave Cloud,Software vendor,Customer PII,PCI-DSS,2024-09-27,None,False,B,True,76,1450000,2025-07-25,2028-07-24,AWS,Stripe
V0154,NimbusSync HR,Contractor/Consultant,Financial data,SOC2;PCI-DSS,2026-11-07,None,True,A-,True,5,915000,2023-11-02,2026-11-01,Azure,Okta
V0155,SummitScale HR,Software vendor,Logs/Telemetry,ISO27001,2025-04-07,Old,False,C,True,62,269000,2024-09-15,2028-09-14,AWS,None
V0156,SilverForge Technologies,Security vendor,Customer PII,none,2025-11-22,None,False,A-,True,64,1336000,2025-11-27,2029-11-26,GCP,Okta
V0157,CedarStack Digital,Integration partner,Internal systems,SOC2;PCI-DSS,2026-11-09,None,False,A-,True,95,1066000,2024-09-12,2028-09-11,Azure,None
V0158,GranitePath Software,HR platform,Customer PII,PCI-DSS,2026-02-04,Old,False,C,True,29,415000,2025-12-07,2028-12-06,Azure,None
V0159,VertexGrid Systems,Managed service provider,Internal systems,PCI-DSS,2026-04-02,None,False,C,False,48,550000,2024-11-07,2026-11-07,AWS,None
V0160,AcmeWind Analytics,Security vendor,Customer PII,none,2026-10-21,None,False,C,True,40,526000,2025-05-15,2028-05-14,AWS,None
V0161,AcmeGuard Data,Managed service provider,Customer PII,SOC2;PCI-DSS,2024-08-03,None,False,B,True,73,581000,2023-12-15,2025-12-14,AWS,Stripe
V0162,VertexStack Analytics,Software vendor,Internal systems,none,2025-12-25,Recent,False,A+,True,97,170000,2023-09-12,2026-09-11,GCP,Twilio
V0163,OrionFlow Solutions,Payment processor,Financial data,ISO27001,2025-03-03,None,False,A,True,53,2379000,2024-12-05,2026-12-05,AWS,Stripe
V0164,FalconWind Analytics,Cloud provider,Internal systems,PCI-DSS;ISO27001,2026-08-27,None,False,C,False,38,1036000,2025-12-20,2027-12-20,Azure,Okta
V0165,AtlasGrid Data,Data platform,Internal systems,PCI-DSS;SOC2,2024-05-26,None,False,C,True,75,1386000,2025-07-28,2027-07-28,AWS,None
V0166,DeltaLink Analytics,Managed service provider,Customer PII,SOC2;PCI-DSS,2026-05-13,None,False,A-,True,63,431000,2025-08-17,2029-08-16,AWS,None
V0167,AcmeScale Labs,Security vendor,Financial data,PCI-DSS;SOC2,2026-01-11,Recent,False,A,False,64,420000,2026-01-11,2030-01-10,AWS,None
V0168,HelixPath Data,Payment processor,Customer PII,none,2026-06-14,None,False,B,True,60,148000,2025-03-12,2028-03-11,AWS,SendGrid
V0169,CobaltScale Cloud,Data platform,Customer PII,SOC2,2026-09-20,Recent,False,A-,True,49,132000,2025-05-12,2029-05-11,AWS,None
V0170,PinnacleLedger Analytics,Software vendor,Customer PII,SOC2,2027-01-16,None,False,A+,True,57,1585000,2023-07-05,2026-07-04,GCP,Cloudflare
V0171,PinnacleFlow Consulting,Data platform,Internal systems,PCI-DSS,2027-02-16,Old,False,A-,True,36,734000,2023-06-28,2026-06-27,AWS,Okta
V0172,HarborShift Cloud,Security vendor,Internal systems,PCI-DSS,2025-12-06,Old,False,A+,False,71,1305000,2024-10-23,2028-10-22,GCP,None
V0173,IronStack Payments,Data platform,Financial data,SOC2;PCI-DSS,2025-11-28,None,False,A,False,37,735000,2024-05-01,2028-04-30,Azure,Cloudflare
V0174,MeridianPath Solutions,Software vendor,Customer PII,none,2026-01-03,None,False,C,False,10,643000,2025-03-05,2027-03-05,AWS,Okta
V0175,BlueWind Labs,Payment processor,Public/Marketing,PCI-DSS;ISO27001,2026-10-30,None,False,B,True,44,345000,2025-07-16,2027-07-16,Azure,Stripe
